ID,Start time,Completion time,Email,Name,Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.",Use of digital learning tools is responsible for my low academic performance.,"The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
52,6/12/20 20:04:50,6/12/20 20:18:14,anonymous,,Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Uncertain,Agree,Uncertain,Uncertain,Agree,Uncertain,Strongly Agree,"Agree	","Agree	","Uncertain	","Uncertain	",Agree,Strongly Agree,Agree,Uncertain,Uncertain,Disagree,Disagree,Agree,Strongly Disagree
53,6/12/20 19:50:43,6/12/20 20:19:04,anonymous,,Female,First/Freshman,+30,80-89 / 3-3.49,Laptop,Laptop,6-9,9-12,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Disagree,Strongly Agree,Uncertain,Strongly Agree,"Agree	","Agree	",Disagree,"Agree	",Agree,Strongly Agree,Agree,Uncertain,Agree,Disagree,Agree,Uncertain,Strongly Disagree
54,6/12/20 20:15:35,6/12/20 20:19:27,anonymous,,Female,Fourth/Senior,25-30,80-89 / 3-3.49,Laptop,Laptop,1-3 ,9-12,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Disagree,Strongly Agree,"Uncertain	","Uncertain	",Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Strongly Agree,Disagree,Uncertain,Disagree,Uncertain
55,6/12/20 20:15:43,6/12/20 20:19:57,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain
56,6/12/20 20:16:34,6/12/20 20:19:57,anonymous,,Female,Second/ Sophomore,18-24,+90 / +3.5,Mobile phone,Mobile phone,1-3 ,1-3 ,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
57,6/12/20 20:17:06,6/12/20 20:20:08,anonymous,,Male,Third/Junior,18-24,70-79 / 2.5-299,Personal Computer,Personal Computer,1-3 ,3-6,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
58,6/12/20 20:16:54,6/12/20 20:20:48,anonymous,,Female,Second/ Sophomore,18-24,60-69 / 2-2.9,Mobile phone,Mobile phone,1-3 ,3-6,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,"Agree	",Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Uncertain,Disagree
59,6/12/20 20:16:58,6/12/20 20:20:52,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Other,Mobile phone,1-3 ,3-6,Uncertain,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Agree	",Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Uncertain,Strongly Agree,Agree,Uncertain
60,6/12/20 20:17:58,6/12/20 20:22:34,anonymous,,Male,Second/ Sophomore,18-24,70-79 / 2.5-299,Laptop,Laptop,3-6,3-6,Agree,Strongly Agree,Uncertain,Uncertain,Agree,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
61,6/12/20 20:18:46,6/12/20 20:22:37,anonymous,,Female,Third/Junior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,"Uncertain	","Uncertain	",Agree,Strongly Agree,Strongly Agree,Uncertain,Agree,Agree,Strongly Agree,Disagree,Disagree
